stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:44676",,"Bourg",,45.337666,-0.897573,,,1,,,2,,
"MOBIITI:StopPlace:44677",,"Le Sablona",,45.352585,-0.928945,,,1,,,2,,
"MOBIITI:StopPlace:44674",,"Rouman 6 Bis",,45.310947,-1.005748,,,1,,,2,,
"MOBIITI:StopPlace:44675",,"Rte du Petit Moulin",,45.335815,-0.983161,,,1,,,2,,
"MOBIITI:StopPlace:44207",,"Ricotte",,44.68359,-0.51158,,,1,,,2,,
"MOBIITI:StopPlace:44208",,"La Cave",,44.709923,-0.549291,,,1,,,2,,
"MOBIITI:StopPlace:46868","","Le Poteau","",44.86546,-0.473693,,,1,,,0,,
"MOBIITI:StopPlace:44205",,"La Sauque",,44.691307,-0.512052,,,1,,,2,,
"MOBIITI:StopPlace:44689",,"Passe de Pechaud",,45.468307,-1.117459,,,1,,,2,,
"MOBIITI:StopPlace:44206",,"Coudougney",,44.685776,-0.519525,,,1,,,2,,
"MOBIITI:StopPlace:44209",,"Bourg",,44.713627,-0.542849,,,1,,,2,,
"MOBIITI:StopPlace:45530","","Gare Routière","",44.89681,-0.72186,,,1,,,0,,
"MOBIITI:StopPlace:44683",,"Rue des Fontaines",,45.308136,-0.89666,,,1,,,2,,
"MOBIITI:StopPlace:44200",,"Gendarmerie",,44.73485,-0.598728,,,1,,,2,,
"MOBIITI:StopPlace:45531",,"Belfort",,44.894524,-0.767959,,,1,,,0,,
"MOBIITI:StopPlace:44684",,"Lafon",,45.31226,-0.892498,,,1,,,2,,
"MOBIITI:StopPlace:44681",,"Rt Moulin Bourdieu 17",,45.352535,-0.908378,,,1,,,2,,
"MOBIITI:StopPlace:44682",,"Meillan",,45.35676,-0.927352,,,1,,,2,,
"MOBIITI:StopPlace:44203",,"Bourg",,44.681877,-0.525455,,,1,,,2,,
"MOBIITI:StopPlace:44687",,"Jau",,45.41764,-0.973597,,,1,,,2,,
"MOBIITI:StopPlace:44204",,"Av. Capdevielle",,44.686928,-0.536312,,,1,,,2,,
"MOBIITI:StopPlace:44688","","Gare TER","",45.50824,-1.118243,,,1,,,2,,
"MOBIITI:StopPlace:44201",,"Bourg",,44.72873,-0.599854,,,1,,,2,,
"MOBIITI:StopPlace:44685",,"Bourg",,45.327675,-0.912887,,,1,,,2,,
"MOBIITI:StopPlace:44686",,"La Hourcade",,45.422035,-0.981152,,,1,,,2,,
"MOBIITI:StopPlace:56659","","TIZAC-DE-CURTON - Bel Air","",44.82241,-0.24881,,,1,,,2,,
"MOBIITI:StopPlace:44680",,"Le Palena",,45.360386,-0.929147,,,1,,,2,,
"MOBIITI:StopPlace:56656","","MOULON - Gennequin","",44.835953,-0.21034,,,1,,,2,,
"MOBIITI:StopPlace:44218",,"Eglise",,44.709713,-0.482087,,,1,,,2,,
"MOBIITI:StopPlace:44219",,"Av. Gal de Gaulle",,44.752026,-0.533647,,,1,,,2,,
"MOBIITI:StopPlace:44216",,"Lamothe",,44.709873,-0.466177,,,1,,,2,,
"MOBIITI:StopPlace:44217",,"Les Chambres",,44.711422,-0.474025,,,1,,,2,,
"MOBIITI:StopPlace:45541",,"Village de Cerillan",,44.89459,-0.757708,,,1,,,0,,
"MOBIITI:StopPlace:44694",,"Dignac",,45.414295,-0.946933,,,1,,,2,,
"MOBIITI:StopPlace:44210",,"Carr. la Morelle",,44.727737,-0.548915,,,1,,,2,,
"MOBIITI:StopPlace:44695",,"Port de Goulee",,45.40492,-0.910842,,,1,,,2,,
"MOBIITI:StopPlace:44211",,"Cimetiere",,44.716022,-0.542554,,,1,,,2,,
"MOBIITI:StopPlace:44692",,"Port de Richard",,45.417274,-0.92753,,,1,,,2,,
"MOBIITI:StopPlace:45540",,"Village d'Issac",,44.895725,-0.773219,,,1,,,0,,
"MOBIITI:StopPlace:44693",,"Loirac",,45.397873,-0.965703,,,1,,,2,,
"MOBIITI:StopPlace:44698",,"Cazeaux",,45.24809,-0.879185,,,1,,,2,,
"MOBIITI:StopPlace:44214",,"Haut Tartavisat",,44.708694,-0.555604,,,1,,,2,,
"MOBIITI:StopPlace:45546","","République","",44.895145,-0.714425,,,1,,,0,,
"MOBIITI:StopPlace:44699",,"Grandes Maisons",,45.542156,-1.076012,,,1,,,2,,
"MOBIITI:StopPlace:44215",,"Eglise",,44.724937,-0.471984,,,1,,,2,,
"MOBIITI:StopPlace:44212",,"Le Breyra",,44.71456,-0.551862,,,1,,,2,,
"MOBIITI:StopPlace:45543",,"Collège d'Hastignan",,44.89376,-0.745395,,,1,,,0,,
"MOBIITI:StopPlace:44696",,"La Caussade",,45.238796,-0.875924,,,1,,,2,,
"MOBIITI:StopPlace:44697",,"Rue des Primeveres",,45.26089,-0.836852,,,1,,,2,,
"MOBIITI:StopPlace:44213",,"Rte de la Haille",,44.741154,-0.550209,,,1,,,2,,
"MOBIITI:StopPlace:44690",,"Res. la Chenaie",,45.498962,-1.119455,,,1,,,2,,
"MOBIITI:StopPlace:44691",,"Centre",,45.40869,-0.958578,,,1,,,2,,
"MOBIITI:StopPlace:44229",,"Salle Polyvalente",,44.67081,-0.47756,,,1,,,2,,
"MOBIITI:StopPlace:44227",,"Pl. Jeansotte",,44.652225,-0.469799,,,1,,,2,,
"MOBIITI:StopPlace:44228",,"Sarransot",,44.646336,-0.450628,,,1,,,2,,
"MOBIITI:StopPlace:43373",,"Boursereau",,44.96683,-0.393506,,,1,,,2,,
"MOBIITI:StopPlace:46400","","La Morandière","av de Magudas",44.858658,-0.678093,,,1,,,0,,
"MOBIITI:StopPlace:44221",,"Eglise",,44.75538,-0.530189,,,1,,,2,,
"MOBIITI:StopPlace:44222",,"Stade",,44.752213,-0.540564,,,1,,,2,,
"MOBIITI:StopPlace:43375",,"Cazeneuve",,44.979412,-0.354324,,,1,,,2,,
"MOBIITI:StopPlace:43374",,"La Mahelle",,45.012146,-0.353548,,,1,,,2,,
"MOBIITI:StopPlace:44220",,"Tennis",,44.751385,-0.544104,,,1,,,2,,
"MOBIITI:StopPlace:43377",,"Monument Sidi Brahim",,45.01889,-0.314225,,,1,,,2,,
"MOBIITI:StopPlace:44225",,"Marguerites",,44.72422,-0.527838,,,1,,,2,,
"MOBIITI:StopPlace:45556","","Herriot","Centre Commercial",44.884193,-0.690959,,,1,,,0,,
"MOBIITI:StopPlace:43376",,"Les Agrières",,44.974426,-0.356443,,,1,,,2,,
"MOBIITI:StopPlace:44226",,"Lacanau",,44.660236,-0.495583,,,1,,,2,,
"MOBIITI:StopPlace:43379",,"La Massonne",,45.032166,-0.306499,,,1,,,2,,
"MOBIITI:StopPlace:44223",,"Rue de la Peguillere",,44.74579,-0.532085,,,1,,,2,,
"MOBIITI:StopPlace:43378",,"Jean Roux",,45.021385,-0.304929,,,1,,,2,,
"MOBIITI:StopPlace:44224",,"Allee Trioublat",,44.74895,-0.530921,,,1,,,2,,
"MOBIITI:StopPlace:44238",,"Bourg",,44.650173,-0.50433,,,1,,,2,,
"MOBIITI:StopPlace:46417","","Mérignac Soleil","",44.831043,-0.656871,,,1,,,0,,
"MOBIITI:StopPlace:46416",,"La Grave",,44.822044,-0.691686,,,1,,,0,,
"MOBIITI:StopPlace:44239",,"Moussurot",,44.652863,-0.50179,,,1,,,2,,
